Temperature,Year,Month,Country,,
-6.434922,1973,12,CHN,,
-8.618035,1974,1,CHN,,
-7.0793505,1974,2,CHN,,
-0.41424733,1974,3,CHN,,
8.370577,1974,4,CHN,,
13.312317,1974,5,CHN,,
16.721554,1974,6,CHN,,
19.532478,1974,7,CHN,,
18.227884,1974,8,CHN,,
13.730156,1974,9,CHN,,
6.8877077,1974,10,CHN,,
-0.14902249,1974,11,CHN,,
-8.48326,1974,12,CHN,,
-7.83695,1975,1,CHN,,
-5.4501467,1975,2,CHN,,
1.4055474,1975,3,CHN,,
7.891398,1975,4,CHN,,
12.304741,1975,5,CHN,,
17.347507,1975,6,CHN,,
19.233284,1975,7,CHN,,
19.011217,1975,8,CHN,,
14.869061,1975,9,CHN,,
8.109946,1975,10,CHN,,
-0.43963832,1975,11,CHN,,
-8.1217985,1975,12,CHN,,
-7.847532,1976,1,CHN,,
-4.0458455,1976,2,CHN,,
-0.535606,1976,3,CHN,,
6.7133675,1976,4,CHN,,
12.804179,1976,5,CHN,,
16.239002,1976,6,CHN,,
18.450342,1976,7,CHN,,
17.594305,1976,8,CHN,,
13.65457,1976,9,CHN,,
7.0413733,1976,10,CHN,,
-2.4552054,1976,11,CHN,,
-7.334628,1976,12,CHN,,
-11.047654,1977,1,CHN,,
-7.022971,1977,2,CHN,,
1.1489491,1977,3,CHN,,
7.6913733,1977,4,CHN,,
12.440518,1977,5,CHN,,
16.90369,1977,6,CHN,,
19.564247,1977,7,CHN,,
18.527664,1977,8,CHN,,
14.516275,1977,9,CHN,,
8.075025,1977,10,CHN,,
-0.17060117,1977,11,CHN,,
-5.6710167,1977,12,CHN,,
-9.451564,1978,1,CHN,,
-7.028006,1978,2,CHN,,
0.25884652,1978,3,CHN,,
8.306598,1978,4,CHN,,
13.311094,1978,5,CHN,,
17.700123,1978,6,CHN,,
19.701296,1978,7,CHN,,
18.634556,1978,8,CHN,,
14.119525,1978,9,CHN,,
7.1776876,1978,10,CHN,,
0.11737536,1978,11,CHN,,
-5.2962365,1978,12,CHN,,
-7.6320624,1979,1,CHN,,
-4.261119,1979,2,CHN,,
0.045943305,1979,3,CHN,,
7.336119,1979,4,CHN,,
12.748754,1979,5,CHN,,
17.319624,1979,6,CHN,,
18.920307,1979,7,CHN,,
18.301638,1979,8,CHN,,
13.1718235,1979,9,CHN,,
8.120724,1979,10,CHN,,
-1.4105572,1979,11,CHN,,
-5.0476785,1979,12,CHN,,
-8.768328,1980,1,CHN,,
-6.1217256,1980,2,CHN,,
-0.20789345,1980,3,CHN,,
6.9028106,1980,4,CHN,,
13.1880245,1980,5,CHN,,
17.432941,1980,6,CHN,,
19.555351,1980,7,CHN,,
18.170284,1980,8,CHN,,
13.601931,1980,9,CHN,,
7.1965055,1980,10,CHN,,
1.8717009,1980,11,CHN,,
-5.921481,1980,12,CHN,,
-8.570968,1981,1,CHN,,
-5.195137,1981,2,CHN,,
1.7393205,1981,3,CHN,,
8.780547,1981,4,CHN,,
13.105107,1981,5,CHN,,
17.551296,1981,6,CHN,,
20.129229,1981,7,CHN,,
18.500832,1981,8,CHN,,
13.879667,1981,9,CHN,,
6.2100196,1981,10,CHN,,
-2.1273704,1981,11,CHN,,
-6.8381233,1981,12,CHN,,
-6.9283724,1982,1,CHN,,
-4.85567,1982,2,CHN,,
0.9981183,1982,3,CHN,,
7.7258797,1982,4,CHN,,
13.2929125,1982,5,CHN,,
16.890615,1982,6,CHN,,
19.33585,1982,7,CHN,,
18.681599,1982,8,CHN,,
13.496384,1982,9,CHN,,
8.379717,1982,10,CHN,,
-0.33296674,1982,11,CHN,,
-6.6905184,1982,12,CHN,,
-8.187757,1983,1,CHN,,
-6.4946237,1983,2,CHN,,
0.5399805,1983,3,CHN,,
7.3336997,1983,4,CHN,,
13.285289,1983,5,CHN,,
16.376564,1983,6,CHN,,
19.008823,1983,7,CHN,,
18.765518,1983,8,CHN,,
14.812366,1983,9,CHN,,
7.767424,1983,10,CHN,,
0.45994624,1983,11,CHN,,
-6.2336755,1983,12,CHN,,
-9.678177,1984,1,CHN,,
-7.3073797,1984,2,CHN,,
0.08030303,1984,3,CHN,,
7.4233627,1984,4,CHN,,
13.297262,1984,5,CHN,,
17.376417,1984,6,CHN,,
18.996847,1984,7,CHN,,
18.468939,1984,8,CHN,,
13.487976,1984,9,CHN,,
7.1735826,1984,10,CHN,,
0.12414467,1984,11,CHN,,
-7.8568916,1984,12,CHN,,
-8.93387,1985,1,CHN,,
-5.6616325,1985,2,CHN,,
-0.8838954,1985,3,CHN,,
8.258627,1985,4,CHN,,
13.279814,1985,5,CHN,,
16.951052,1985,6,CHN,,
19.17913,1985,7,CHN,,
19.021336,1985,8,CHN,,
13.333725,1985,9,CHN,,
7.78089,1985,10,CHN,,
-0.811217,1985,11,CHN,,
-7.0356307,1985,12,CHN,,
-7.8619013,1986,1,CHN,,
-5.783431,1986,2,CHN,,
0.5929619,1986,3,CHN,,
7.1464562,1986,4,CHN,,
13.535411,1986,5,CHN,,
17.481354,1986,6,CHN,,
19.40628,1986,7,CHN,,
18.320894,1986,8,CHN,,
13.850586,1986,9,CHN,,
6.556745,1986,10,CHN,,
-1.0315738,1986,11,CHN,,
-5.8978987,1986,12,CHN,,
-7.478055,1987,1,CHN,,
-3.7546678,1987,2,CHN,,
0.3032747,1987,3,CHN,,
7.704179,1987,4,CHN,,
12.659213,1987,5,CHN,,
16.642033,1987,6,CHN,,
19.325048,1987,7,CHN,,
18.5489,1987,8,CHN,,
14.185141,1987,9,CHN,,
7.431843,1987,10,CHN,,
-0.6777615,1987,11,CHN,,
-5.594159,1987,12,CHN,,
-6.995846,1988,1,CHN,,
-6.2218475,1988,2,CHN,,
-0.845259,1988,3,CHN,,
7.806672,1988,4,CHN,,
